"show","theater","week_date","this_week_gross","potential_gross","avg_ticket_price","top_ticket_price","seats_sold","seats_in_theater","performances","previews","capacity"
"Avenue Q","John Golden Theatre",2005-05-22,492344,480786,77.53,201.25,6350,796,8,0,99.72
"Beauty and the Beast","Palace Theatre",2005-05-22,609693,845808,56.88,100,10719,1509,8,0,88.79
"Brooklyn","Plymouth Theatre",2005-05-22,202207,727492,47.78,95,4232,1044,8,0,50.67
"Chicago","Ambassador Theatre",2005-05-22,504431,716419,64.2,240,7857,1080,8,0,90.94
"Chitty Chitty Bang Bang","Hilton Theatre",2005-05-22,738232,1224682,68.83,101.25,10726,1807,8,0,74.2
"Dirty Rotten Scoundrels","Imperial Theatre",2005-05-22,831474,946981,76.9,101.25,10812,1435,8,0,94.18
"Doubt","Walter Kerr Theatre",2005-05-22,503351,552398,70.68,89,7122,924,8,0,96.35
"Fiddler on the Roof","Minskoff Theatre",2005-05-22,466933,1071158,58.37,100,8000,1691,8,0,59.14
"Glengarry Glen Ross","Royale Theatre",2005-05-22,448079,673276,67.19,91.25,6669,1078,8,0,77.33
"Hairspray","Neil Simon Theatre",2005-05-22,717393,967679,69.08,240,10385,1428,8,0,90.91
"Jackie Mason: Freshly Squeezed","Helen Hayes Theatre",2005-05-22,123424,328160,65.76,81.25,1877,586,7,0,45.76
"Julius Caesar","Belasco Theatre",2005-05-22,651215,639723,84.94,101.25,7667,997,8,0,96.13
"La Cage aux Folles","Marquis Theatre",2005-05-22,398963,1041357,56.89,100,7013,1566,8,0,55.98
"Little Women","Virginia Theatre",2005-05-22,316978,843952,60.24,99,5262,1222,8,0,53.83
"Love/Life","Vivian Beaumont Theater",2005-05-22,81997,120900,41.6,60,1971,1041,2,0,94.67
"Mamma Mia!","Broadhurst Theatre",2005-05-22,970398,1033311,81.18,201.25,11953,1498,8,0,99.74
"Movin' Out","Richard Rodgers Theatre",2005-05-22,484703,824208,62.74,240,7726,1322,8,0,73.05
"On Golden Pond","Cort Theatre",2005-05-22,258722,589041,53.61,91.25,4826,1067,8,0,56.54
"Rent","Nederlander Theatre",2005-05-22,334834,528739,49.87,85,6714,1181,8,0,71.06
"Spamalot","Sam S. Shubert Theatre",2005-05-22,876147,910451,76.25,101.25,11490,1441,8,0,99.67
"Steel Magnolias","Lyceum Theatre",2005-05-22,231067,487668,59.88,86.25,3859,922,8,0,52.32
"Sweet Charity","Al Hirschfeld Theatre",2005-05-22,595964,1004724,63.98,100,9315,1422,8,0,81.88
"The 25th Annual Putnam County Spelling Bee","Circle in the Square Theatre",2005-05-22,391738,456768,74.38,95,5267,684,8,0,96.25
"The Glass Menagerie","Ethel Barrymore Theatre",2005-05-22,233632,637484,52.62,91.25,4440,1052,8,0,52.76
"The Light in the Piazza","Vivian Beaumont Theater",2005-05-22,418634,759000,60.69,95,6898,1041,8,0,82.83
"The Lion King","Minskoff Theatre",2005-05-22,1170719,1264960,80.79,100,14491,1801,8,0,100.58
"The Phantom of the Opera","Majestic Theatre",2005-05-22,752695,1002310,59,200,12758,1607,8,0,99.24
"The Pillowman","Booth Theatre",2005-05-22,415159,436217,71.2,96.25,5831,788,8,0,92.5
"The Producers","St. James Theatre",2005-05-22,888186,1042163,73.22,240,12130,1706,8,0,88.88
"Who's Afraid of Virginia Woolf?","Longacre Theatre",2005-05-22,328739,616416,64.09,91.25,5129,1095,8,0,58.55
"Wicked","Gershwin Theatre",2005-05-22,1243774,1155784,85.94,240,14472,1809,8,0,100
"700 Sundays","Broadhurst Theatre",2005-05-29,596917,528256,99.27,101.25,6013,1179,5,0,102
"A Streetcar Named Desire","Studio 54",2005-05-29,236160,380100,53.77,91.25,4392,1004,6,0,72.91
"All Shook Up","Palace Theatre",2005-05-29,476376,1015477,47.44,100,10042,1706,8,0,73.58
"Avenue Q","John Golden Theatre",2005-05-29,488007,480786,78.43,201.25,6222,796,8,0,97.71
"Beauty and the Beast","Palace Theatre",2005-05-29,633991,845808,57.65,100,10998,1509,8,0,91.1
"Brooklyn","Plymouth Theatre",2005-05-29,199449,727492,44.28,95,4504,1044,8,0,53.93
"Chicago","Ambassador Theatre",2005-05-29,530540,716419,67.55,240,7854,1080,8,0,90.9
"Chitty Chitty Bang Bang","Hilton Theatre",2005-05-29,759413,1224682,70.93,101.25,10706,1807,8,0,74.06
"Dirty Rotten Scoundrels","Imperial Theatre",2005-05-29,786067,946981,74.95,101.25,10488,1435,8,0,91.36
"Doubt","Walter Kerr Theatre",2005-05-29,512001,552398,74.54,89,6869,924,8,0,92.92
"Fiddler on the Roof","Minskoff Theatre",2005-05-29,475895,1071158,57.73,100,8244,1691,8,0,60.94
"Glengarry Glen Ross","Royale Theatre",2005-05-29,436779,673276,66.34,91.25,6584,1078,8,0,76.35
"Hairspray","Neil Simon Theatre",2005-05-29,717173,967679,67.16,240,10679,1428,8,0,93.48
"Jackie Mason: Freshly Squeezed","Helen Hayes Theatre",2005-05-29,101478,281280,66.2,81.25,1533,586,6,0,43.6
"Julius Caesar","Belasco Theatre",2005-05-29,660454,639723,85.7,101.25,7707,997,8,0,96.63
"La Cage aux Folles","Marquis Theatre",2005-05-29,383837,1041357,54.67,100,7021,1566,8,0,56.04
"Love/Life","Vivian Beaumont Theater",2005-05-29,41925,60450,43.67,60,960,1041,1,0,92.22
"Mamma Mia!","Broadhurst Theatre",2005-05-29,972995,1033311,81.2,201.25,11982,1498,8,0,99.98
"Movin' Out","Richard Rodgers Theatre",2005-05-29,483506,824208,60.89,240,7941,1322,8,0,75.09
"On Golden Pond","Cort Theatre",2005-05-29,244945,589041,54.06,91.25,4531,1067,8,0,53.08
"Rent","Nederlander Theatre",2005-05-29,385332,528739,51.75,85,7446,1181,8,0,78.81
"Spamalot","Sam S. Shubert Theatre",2005-05-29,895047,910451,77.65,101.25,11527,1441,8,0,99.99
"Steel Magnolias","Lyceum Theatre",2005-05-29,196420,487668,56.04,86.25,3505,922,8,0,47.52
"Sweet Charity","Al Hirschfeld Theatre",2005-05-29,620557,1004724,64.88,100,9564,1422,8,0,84.07
"The 25th Annual Putnam County Spelling Bee","Circle in the Square Theatre",2005-05-29,404050,456768,76.83,95,5259,684,8,0,96.11
"The Glass Menagerie","Ethel Barrymore Theatre",2005-05-29,209913,637484,48.47,91.25,4331,1052,8,0,51.46
"The Light in the Piazza","Vivian Beaumont Theater",2005-05-29,416596,759000,61.64,95,6759,1041,8,0,81.16
"The Lion King","Minskoff Theatre",2005-05-29,1176169,1264960,81.05,100,14512,1801,8,0,100.72
"The Phantom of the Opera","Majestic Theatre",2005-05-29,770456,1002310,59.48,200,12953,1607,8,0,100.75
"The Pillowman","Booth Theatre",2005-05-29,406044,436217,70.07,96.25,5795,788,8,0,91.93
"The Producers","St. James Theatre",2005-05-29,885924,1042163,74.86,240,11834,1706,8,0,86.71
"Who's Afraid of Virginia Woolf?","Longacre Theatre",2005-05-29,306160,539364,62.24,91.25,4919,1095,7,0,64.17
"Wicked","Gershwin Theatre",2005-05-29,1255567,1155784,86.76,240,14472,1809,8,0,100
"700 Sundays","Broadhurst Theatre",2005-06-05,497629,422605,104.92,101.25,4743,1179,4,0,100.57
"A Streetcar Named Desire","Studio 54",2005-06-05,296506,506800,52.39,91.25,5660,1004,8,0,70.47
"After the Night and the Music","Biltmore Theatre",2005-06-05,159440,368611,48.08,78,3316,650,6,2,63.77
"All Shook Up","Palace Theatre",2005-06-05,462433,1015477,48.42,100,9550,1706,8,0,69.97
"Avenue Q","John Golden Theatre",2005-06-05,431305,480786,73.2,201.25,5892,796,8,0,92.53
"Beauty and the Beast","Palace Theatre",2005-06-05,643722,845808,56.77,100,11340,1509,8,0,93.94
"Brooklyn","Plymouth Theatre",2005-06-05,191289,727492,44.71,95,4278,1044,8,0,51.22
"Chicago","Ambassador Theatre",2005-06-05,404474,716419,61.35,240,6593,1080,8,0,76.31
"Chitty Chitty Bang Bang","Hilton Theatre",2005-06-05,737162,1224682,68.91,101.25,10697,1807,8,0,74
"Dirty Rotten Scoundrels","Imperial Theatre",2005-06-05,790947,946981,74.33,101.25,10641,1435,8,0,92.69
"Doubt","Walter Kerr Theatre",2005-06-05,510760,552398,73.48,89,6951,924,8,0,94.03
"Fiddler on the Roof","Minskoff Theatre",2005-06-05,402989,1071158,57.86,100,6965,1691,8,0,51.49
"Glengarry Glen Ross","Royale Theatre",2005-06-05,404025,673276,65.06,91.25,6210,1078,8,0,72.01
"Hairspray","Neil Simon Theatre",2005-06-05,696019,967679,67.55,240,10304,1428,8,0,90.2
"Jackie Mason: Freshly Squeezed","Helen Hayes Theatre",2005-06-05,90728,328160,57.5,81.25,1578,586,7,0,38.47
"Julius Caesar","Belasco Theatre",2005-06-05,674386,639723,85.39,101.25,7898,997,8,0,99.02
"La Cage aux Folles","Marquis Theatre",2005-06-05,269870,1041357,55.95,100,4823,1566,8,0,38.5
"Mamma Mia!","Broadhurst Theatre",2005-06-05,945513,1033311,79.55,201.25,11886,1498,8,0,99.18
"Movin' Out","Richard Rodgers Theatre",2005-06-05,411786,824208,60.91,240,6761,1322,8,0,63.93
"On Golden Pond","Cort Theatre",2005-06-05,220902,589041,54.44,91.25,4058,1067,8,0,47.54
"Rent","Nederlander Theatre",2005-06-05,326947,528739,51.02,85,6408,1181,8,0,67.82
"Spamalot","Sam S. Shubert Theatre",2005-06-05,926192,910451,79.7,101.25,11621,1441,8,0,100.81
"Steel Magnolias","Lyceum Theatre",2005-06-05,202112,487668,58.65,86.25,3446,922,8,0,46.72
"Sweet Charity","Al Hirschfeld Theatre",2005-06-05,464826,1004724,65.17,100,7132,1422,8,0,62.69
"The 25th Annual Putnam County Spelling Bee","Circle in the Square Theatre",2005-06-05,383803,456768,76.82,95,4996,684,8,0,91.3
"The Glass Menagerie","Ethel Barrymore Theatre",2005-06-05,175980,637484,49.5,91.25,3555,1052,8,0,42.24
"The Light in the Piazza","Vivian Beaumont Theater",2005-06-05,454363,759000,62.46,95,7274,1041,8,0,87.34
"The Lion King","Minskoff Theatre",2005-06-05,1169962,1264960,81.03,100,14438,1801,8,0,100.21
"The Phantom of the Opera","Majestic Theatre",2005-06-05,759442,1002310,59.64,200,12733,1607,8,0,99.04
"The Pillowman","Booth Theatre",2005-06-05,392771,436217,68.9,96.25,5701,788,8,0,90.43
"The Producers","St. James Theatre",2005-06-05,772976,1042163,72.65,240,10639,1706,8,0,77.95
"Who's Afraid of Virginia Woolf?","Longacre Theatre",2005-06-05,276629,616416,61.28,91.25,4514,1095,8,0,51.53
"Wicked","Gershwin Theatre",2005-06-05,1249964,1155784,86.37,240,14472,1809,8,0,100
"700 Sundays","Broadhurst Theatre",2005-06-12,846635,633908,119.13,101.25,7107,1179,6,0,100.47
"A Streetcar Named Desire","Studio 54",2005-06-12,262013,443450,52.45,91.25,4995,1004,7,0,71.07
"After the Night and the Music","Biltmore Theatre",2005-06-12,157061,368611,48.46,78,3241,650,8,0,62.33
"All Shook Up","Palace Theatre",2005-06-12,498085,1015477,48.63,100,10243,1706,8,0,75.05
"Avenue Q","John Golden Theatre",2005-06-12,484308,480786,76.62,201.25,6321,796,8,0,99.26
"Beauty and the Beast","Palace Theatre",2005-06-12,654655,845808,59,100,11095,1509,8,0,91.91
"Brooklyn","Plymouth Theatre",2005-06-12,188475,727492,45.61,95,4132,1044,8,0,49.47
"Chicago","Ambassador Theatre",2005-06-12,439246,716419,63.09,240,6962,1080,8,0,80.58
"Chitty Chitty Bang Bang","Hilton Theatre",2005-06-12,789561,1224682,71.58,101.25,11030,1807,8,0,76.3
"Dirty Rotten Scoundrels","Imperial Theatre",2005-06-12,820120,946981,75.94,101.25,10800,1435,8,0,94.08
"Doubt","Walter Kerr Theatre",2005-06-12,539123,552398,74.33,89,7253,924,8,0,98.12
"Fiddler on the Roof","Minskoff Theatre",2005-06-12,404377,1071158,59.73,100,6770,1691,8,0,50.04
"Glengarry Glen Ross","Royale Theatre",2005-06-12,434102,673276,67.14,91.25,6466,1078,8,0,74.98
"Hairspray","Neil Simon Theatre",2005-06-12,766928,967679,67.91,240,11294,1428,8,0,98.86
"Jackie Mason: Freshly Squeezed","Helen Hayes Theatre",2005-06-12,88030,328160,57.16,81.25,1540,586,7,0,37.54
"Julius Caesar","Belasco Theatre",2005-06-12,699180,639723,86.74,101.25,8061,997,8,0,101.07
"La Cage aux Folles","Marquis Theatre",2005-06-12,356612,1041357,55.87,100,6383,1566,8,0,50.95
"Mamma Mia!","Broadhurst Theatre",2005-06-12,971130,1033311,81.13,201.25,11970,1498,8,0,99.88
"Mark Twain Tonight!","Brooks Atkinson Theatre",2005-06-12,146176,433725,31.12,85,4697,1059,3,3,73.92
"Movin' Out","Richard Rodgers Theatre",2005-06-12,475120,824208,62.32,240,7624,1322,8,0,72.09
"On Golden Pond","Cort Theatre",2005-06-12,216695,589041,54.62,91.25,3967,1067,8,0,46.47
"Rent","Nederlander Theatre",2005-06-12,320119,528739,50.25,85,6371,1181,8,0,67.43
"Spamalot","Sam S. Shubert Theatre",2005-06-12,960872,910451,82.01,101.25,11716,1441,8,0,101.63
"Steel Magnolias","Lyceum Theatre",2005-06-12,226706,487668,58.7,86.25,3862,922,8,0,52.36
"Sweet Charity","Al Hirschfeld Theatre",2005-06-12,522081,1004724,66.97,100,7796,1422,8,0,68.53
"The 25th Annual Putnam County Spelling Bee","Circle in the Square Theatre",2005-06-12,405044,456768,74.8,95,5415,684,8,0,98.96
"The Glass Menagerie","Ethel Barrymore Theatre",2005-06-12,179093,637484,48.83,91.25,3668,1052,8,0,43.58
"The Light in the Piazza","Vivian Beaumont Theater",2005-06-12,544820,759000,68.8,95,7919,1041,8,0,95.09
"The Lion King","Minskoff Theatre",2005-06-12,1172795,1264960,81.04,100,14472,1801,8,0,100.44
"The Phantom of the Opera","Majestic Theatre",2005-06-12,753205,1002310,59.19,200,12725,1607,8,0,98.98
"The Pillowman","Booth Theatre",2005-06-12,399688,436217,68.66,96.25,5821,788,8,0,92.34
"The Producers","St. James Theatre",2005-06-12,843259,1042163,72.47,240,11636,1706,8,0,85.26
"Who's Afraid of Virginia Woolf?","Longacre Theatre",2005-06-12,256693,539364,62.55,91.25,4104,1095,7,0,53.54
"Wicked","Gershwin Theatre",2005-06-12,1265536,1155784,87.45,240,14472,1809,8,0,100
"A Streetcar Named Desire","Studio 54",2005-06-19,253615,443450,50.88,91.25,4985,1004,7,0,70.93
"After the Night and the Music","Biltmore Theatre",2005-06-19,172726,368611,48.7,78,3547,650,8,0,68.21
"All Shook Up","Palace Theatre",2005-06-19,462014,1015477,49.27,100,9378,1706,8,0,68.71
"Avenue Q","John Golden Theatre",2005-06-19,478142,480786,77.14,201.25,6198,796,8,0,97.33
"Beauty and the Beast","Palace Theatre",2005-06-19,679541,845808,60.43,100,11245,1509,8,0,93.15
"Brooklyn","Plymouth Theatre",2005-06-19,174406,727492,45.05,95,3871,1044,8,0,46.35
"Chicago","Ambassador Theatre",2005-06-19,435699,716419,62.76,240,6942,1080,8,0,80.35
"Chitty Chitty Bang Bang","Hilton Theatre",2005-06-19,881707,1224682,70.91,101.25,12435,1807,8,0,86.02
"Dirty Rotten Scoundrels","Imperial Theatre",2005-06-19,813300,946981,75.32,101.25,10798,1435,8,0,94.06
"Doubt","Walter Kerr Theatre",2005-06-19,544176,552398,74.3,89,7324,924,8,0,99.08
"Fiddler on the Roof","Minskoff Theatre",2005-06-19,434310,1071158,57.68,100,7529,1691,8,0,55.65
"Glengarry Glen Ross","Royale Theatre",2005-06-19,435884,673276,68.64,91.25,6350,1078,8,0,73.63
"Hairspray","Neil Simon Theatre",2005-06-19,779224,967679,69.14,240,11271,1428,8,0,98.66
"Jackie Mason: Freshly Squeezed","Helen Hayes Theatre",2005-06-19,104102,328160,59.83,81.25,1740,586,7,0,42.42
"La Cage aux Folles","Marquis Theatre",2005-06-19,351816,1041357,51.14,100,6879,1566,8,0,54.91
"Mamma Mia!","Broadhurst Theatre",2005-06-19,945982,1033311,79.76,201.25,11860,1498,8,0,98.97
"Mark Twain Tonight!","Brooks Atkinson Theatre",2005-06-19,212831,433725,61.32,85,3471,1059,6,0,54.63
"Movin' Out","Richard Rodgers Theatre",2005-06-19,451838,824208,62.09,240,7277,1322,8,0,68.81
"On Golden Pond","Cort Theatre",2005-06-19,162053,589041,52.58,91.25,3082,1067,8,0,36.11
"Rent","Nederlander Theatre",2005-06-19,332093,528739,51.3,85,6473,1181,8,0,68.51
"Spamalot","Sam S. Shubert Theatre",2005-06-19,951834,910451,81.34,101.25,11702,1441,8,0,101.51
"Steel Magnolias","Lyceum Theatre",2005-06-19,174344,487668,58.35,86.25,2988,922,8,0,40.51
"Sweet Charity","Al Hirschfeld Theatre",2005-06-19,516007,1004724,66.87,100,7716,1422,8,0,67.83
"The 25th Annual Putnam County Spelling Bee","Circle in the Square Theatre",2005-06-19,418516,456768,75.26,95,5561,684,8,0,101.63
"The Constant Wife","American Airlines Theatre",2005-06-19,218482,370100,52.6,86.25,4154,740,5,3,70.17
"The Light in the Piazza","Vivian Beaumont Theater",2005-06-19,530207,759000,69.98,95,7577,1041,8,0,90.98
"The Lion King","Minskoff Theatre",2005-06-19,1188112,1264960,82.1,100,14472,1801,8,0,100.44
"The Phantom of the Opera","Majestic Theatre",2005-06-19,777465,1002310,61.9,200,12560,1607,8,0,97.7
"The Pillowman","Booth Theatre",2005-06-19,391594,436217,68.74,96.25,5697,788,8,0,90.37
"The Producers","St. James Theatre",2005-06-19,839515,1042163,72.82,240,11528,1706,8,0,84.47
"Who's Afraid of Virginia Woolf?","Longacre Theatre",2005-06-19,258928,616416,62.59,91.25,4137,1095,8,0,47.23
"Wicked","Gershwin Theatre",2005-06-19,1267274,1155784,87.57,240,14472,1809,8,0,100
"A Streetcar Named Desire","Studio 54",2005-06-26,318017,506800,54.37,91.25,5849,1004,8,0,72.82
"After the Night and the Music","Biltmore Theatre",2005-06-26,181452,368611,48.61,78,3733,650,8,0,71.79
"All Shook Up","Palace Theatre",2005-06-26,498386,1015477,50.5,100,9870,1706,8,0,72.32
"Avenue Q","John Golden Theatre",2005-06-26,490614,480786,77.95,201.25,6294,796,8,0,98.84
"Beauty and the Beast","Palace Theatre",2005-06-26,717387,845808,62.27,100,11521,1509,8,0,95.44
"Brooklyn","Plymouth Theatre",2005-06-26,219162,727492,45.57,95,4809,1044,8,0,57.58
"Chicago","Ambassador Theatre",2005-06-26,485031,716419,64.87,240,7477,1080,8,0,86.54
"Chitty Chitty Bang Bang","Hilton Theatre",2005-06-26,1003151,1224682,72.61,101.25,13815,1807,8,0,95.57
"Dirty Rotten Scoundrels","Imperial Theatre",2005-06-26,859190,946981,77.97,101.25,11020,1435,8,0,95.99
"Doubt","Walter Kerr Theatre",2005-06-26,541497,552398,73.95,89,7322,924,8,0,99.05
"Fiddler on the Roof","Minskoff Theatre",2005-06-26,531383,1071158,57.44,100,9251,1691,8,0,68.38
"Glengarry Glen Ross","Royale Theatre",2005-06-26,454595,673276,68.35,91.25,6651,1078,8,0,77.12
"Hairspray","Neil Simon Theatre",2005-06-26,804116,967679,70.2,240,11455,1428,8,0,100.27
"Jackie Mason: Freshly Squeezed","Helen Hayes Theatre",2005-06-26,135346,328160,57.52,81.25,2353,586,7,0,57.36
"La Cage aux Folles","Marquis Theatre",2005-06-26,434141,1041357,49.62,100,8750,1566,8,0,69.84
"Mamma Mia!","Broadhurst Theatre",2005-06-26,981873,1033311,81.75,201.25,12010,1498,8,0,100.22
"Mark Twain Tonight!","Brooks Atkinson Theatre",2005-06-26,258461,433725,64.36,85,4016,1059,6,0,63.2
"Movin' Out","Richard Rodgers Theatre",2005-06-26,495599,824208,62.56,240,7922,1322,8,0,74.91
"On Golden Pond","Cort Theatre",2005-06-26,135912,589041,56.54,91.25,2404,1067,8,0,28.16
"Rent","Nederlander Theatre",2005-06-26,362841,528739,50.92,85,7126,1181,8,0,75.42
"Spamalot","Sam S. Shubert Theatre",2005-06-26,968344,910451,82.62,301.25,11720,1441,8,0,101.67
"Steel Magnolias","Lyceum Theatre",2005-06-26,199789,487668,57.54,86.25,3472,922,8,0,47.07
"Sweet Charity","Al Hirschfeld Theatre",2005-06-26,560366,1004724,66.48,100,8429,1422,8,0,74.09
"The 25th Annual Putnam County Spelling Bee","Circle in the Square Theatre",2005-06-26,437259,456768,77.92,95,5612,684,8,0,102.56
"The Constant Wife","American Airlines Theatre",2005-06-26,270728,370100,52.69,86.25,5138,740,8,0,86.79
"The Glass Menagerie","Ethel Barrymore Theatre",2005-06-26,186578,637484,49.23,91.25,3790,1052,8,0,45.03
"The Light in the Piazza","Vivian Beaumont Theater",2005-06-26,555389,759000,71.19,95,7801,1041,8,0,93.67
"The Lion King","Minskoff Theatre",2005-06-26,1195757,1264960,82.53,100,14488,1801,8,0,100.56
"The Phantom of the Opera","Majestic Theatre",2005-06-26,806462,1002310,63.31,200,12738,1607,8,0,99.08
"The Pillowman","Booth Theatre",2005-06-26,384675,436217,68.94,96.25,5580,788,8,0,88.52
"The Producers","St. James Theatre",2005-06-26,882708,1042163,72.83,240,12120,1706,8,0,88.8
"Who's Afraid of Virginia Woolf?","Longacre Theatre",2005-06-26,236136,539364,64.27,91.25,3674,1095,7,0,47.93
"Wicked","Gershwin Theatre",2005-06-26,1265311,1155784,87.43,240,14472,1809,8,0,100
"A Streetcar Named Desire","Studio 54",2005-07-03,293214,506800,53.9,91.25,5440,1004,8,0,67.73
"After the Night and the Music","Biltmore Theatre",2005-07-03,156837,368611,47.8,78,3281,650,8,0,63.1
"All Shook Up","Palace Theatre",2005-07-03,473402,1015477,45.76,100,10346,1706,8,0,75.81
"Avenue Q","John Golden Theatre",2005-07-03,465188,480786,74.73,201.25,6225,796,8,0,97.75
"Beauty and the Beast","Palace Theatre",2005-07-03,661340,845808,61.52,100,10750,1509,8,0,89.05
"Chicago","Ambassador Theatre",2005-07-03,459289,716419,63.5,240,7233,1080,8,0,83.72
"Chitty Chitty Bang Bang","Hilton Theatre",2005-07-03,835148,1224682,69.48,101.25,12020,1807,8,0,83.15
"Dirty Rotten Scoundrels","Imperial Theatre",2005-07-03,831163,946981,74.97,101.25,11086,1435,8,0,96.57
"Doubt","Walter Kerr Theatre",2005-07-03,539065,552398,73.46,89,7338,924,8,0,99.27
"Fiddler on the Roof","Minskoff Theatre",2005-07-03,460798,1071158,54.18,100,8505,1691,8,0,62.87
"Glengarry Glen Ross","Royale Theatre",2005-07-03,449084,673276,65.42,91.25,6865,1078,8,0,79.6
"Hairspray","Neil Simon Theatre",2005-07-03,752875,967679,67.11,240,11218,1428,8,0,98.2
"Jackie Mason: Freshly Squeezed","Helen Hayes Theatre",2005-07-03,99682,328160,44.86,81.25,2222,586,7,0,54.17
"Mamma Mia!","Broadhurst Theatre",2005-07-03,942813,1033311,77.44,201.25,12174,1498,8,0,101.59
"Movin' Out","Richard Rodgers Theatre",2005-07-03,450689,824208,56.68,240,7952,1322,8,0,75.19
"Rent","Nederlander Theatre",2005-07-03,358453,528739,53.04,85,6758,1181,8,0,71.53
"Spamalot","Sam S. Shubert Theatre",2005-07-03,989524,910451,84.5,301.25,11710,1441,8,0,101.58
"Steel Magnolias","Lyceum Theatre",2005-07-03,159937,487668,49.75,86.25,3215,922,8,0,43.59
"Sweet Charity","Al Hirschfeld Theatre",2005-07-03,517903,1004724,63.84,100,8113,1422,8,0,71.32
"The 25th Annual Putnam County Spelling Bee","Circle in the Square Theatre",2005-07-03,451333,456768,79.84,95,5653,684,8,0,103.31
"The Constant Wife","American Airlines Theatre",2005-07-03,274433,370100,52.08,86.25,5269,740,8,0,89
"The Glass Menagerie","Ethel Barrymore Theatre",2005-07-03,194024,637484,48.1,91.25,4034,1052,8,0,47.93
"The Light in the Piazza","Vivian Beaumont Theater",2005-07-03,544607,759000,69.96,95,7784,1041,8,0,93.47
"The Lion King","Minskoff Theatre",2005-07-03,1203555,1264960,82.79,100,14538,1801,8,0,100.9
"The Phantom of the Opera","Majestic Theatre",2005-07-03,792294,1002310,61.84,200,12812,1607,8,0,99.66
"The Pillowman","Booth Theatre",2005-07-03,346835,436217,62.82,96.25,5521,788,8,0,87.58
"The Producers","St. James Theatre",2005-07-03,849145,1042163,68.32,240,12429,1706,8,0,91.07
"Who's Afraid of Virginia Woolf?","Longacre Theatre",2005-07-03,226260,539364,56.85,91.25,3980,1095,7,0,51.92
"Wicked","Gershwin Theatre",2005-07-03,1290478,1155784,89.17,240,14472,1809,8,0,100
"All Shook Up","Palace Theatre",2005-07-10,505479,1015477,45.84,100,11027,1706,8,0,80.8
"Avenue Q","John Golden Theatre",2005-07-10,452018,480786,75.56,201.25,5982,796,8,0,93.94
"Beauty and the Beast","Palace Theatre",2005-07-10,657265,845808,63.21,100,10398,1509,8,0,86.13
"Chicago","Ambassador Theatre",2005-07-10,464127,716419,63.42,240,7318,1080,8,0,84.7
"Chitty Chitty Bang Bang","Hilton Theatre",2005-07-10,761963,1224682,69.09,101.25,11029,1807,8,0,76.29
"Dirty Rotten Scoundrels","Imperial Theatre",2005-07-10,760808,946981,73.09,101.25,10409,1435,8,0,90.67
"Doubt","Walter Kerr Theatre",2005-07-10,527799,552398,71.4,89,7392,924,8,0,100
"Fiddler on the Roof","Minskoff Theatre",2005-07-10,423434,1071158,56.14,100,7542,1691,8,0,55.75
"Glengarry Glen Ross","Royale Theatre",2005-07-10,434270,673276,62.34,91.25,6966,1078,8,0,80.77
"Hairspray","Neil Simon Theatre",2005-07-10,729061,967679,66.58,240,10950,1428,8,0,95.85
"Jackie Mason: Freshly Squeezed","Helen Hayes Theatre",2005-07-10,110512,380900,50.69,81.25,2180,586,8,0,46.5
"Mamma Mia!","Broadhurst Theatre",2005-07-10,960965,1033311,79.88,201.25,12030,1498,8,0,100.38
"Movin' Out","Richard Rodgers Theatre",2005-07-10,470452,824208,58.56,240,8034,1322,8,0,75.96
"Rent","Nederlander Theatre",2005-07-10,358534,528739,53.35,85,6721,1181,8,0,71.14
"Spamalot","Sam S. Shubert Theatre",2005-07-10,1010064,910451,86.09,301.25,11733,1441,8,0,101.78
"Steel Magnolias","Lyceum Theatre",2005-07-10,139918,487668,54.83,86.25,2552,922,8,0,34.6
"Sweet Charity","Al Hirschfeld Theatre",2005-07-10,483379,1004724,63.67,100,7592,1422,8,0,66.74
"The 25th Annual Putnam County Spelling Bee","Circle in the Square Theatre",2005-07-10,450625,456768,79.76,95,5650,684,8,0,103.25
"The Constant Wife","American Airlines Theatre",2005-07-10,282853,370100,52.53,86.25,5385,740,8,0,90.96
"The Light in the Piazza","Vivian Beaumont Theater",2005-07-10,515606,759000,71.35,95,7226,1041,8,0,86.77
"The Lion King","Minskoff Theatre",2005-07-10,1199226,1264960,82.54,100,14529,1801,8,0,100.84
"The Phantom of the Opera","Majestic Theatre",2005-07-10,777110,1002310,63.34,200,12269,1607,8,0,95.43
"The Pillowman","Booth Theatre",2005-07-10,326927,436217,64.07,96.25,5103,788,8,0,80.95
"The Producers","St. James Theatre",2005-07-10,813387,1042163,69.25,240,11746,1706,8,0,86.06
"Who's Afraid of Virginia Woolf?","Longacre Theatre",2005-07-10,220212,539364,50.83,91.25,4332,1095,7,0,56.52
"Wicked","Gershwin Theatre",2005-07-10,1302256,1155784,89.98,240,14472,1809,8,0,100
"All Shook Up","Palace Theatre",2005-07-17,512916,1015477,44.99,100,11401,1706,8,0,83.54
"Avenue Q","John Golden Theatre",2005-07-17,458344,480786,76.99,201.25,5953,796,8,0,93.48
"Beauty and the Beast","Palace Theatre",2005-07-17,689838,845808,63.03,100,10944,1509,8,0,90.66
"Chicago","Ambassador Theatre",2005-07-17,491087,716419,65.63,240,7483,1080,8,0,86.61
"Chitty Chitty Bang Bang","Hilton Theatre",2005-07-17,766952,1224682,73.65,101.25,10413,1807,8,0,72.03
